stars;acc;pp
1.3;0.9054304173214598;44.1419
1.3;0.9044176706827309;43.865
1.3;0.9042779814911821;43.8268
1.3;0.9042546999592573;43.8204
1.3;0.9032535940864909;43.5467
1.3;0.9025939506819549;43.3663
1.3;0.9015889645538676;43.0915
1.3;0.9008594765535572;42.892
1.3;0.9002463962128708;42.7244
1.3;0.9001959528937004;42.7106
1.3;0.9001765516170964;42.7053
1.3;0.9000601439574724;42.6735
1.3;0.8979686863395612;42.1571
1.3;0.8964709077857324;41.7885
1.3;0.8945851036998235;41.3244
1.3;0.8939371010612498;41.165
1.3;0.8932502958694682;40.9959
1.3;0.8915973071028074;40.5891
1.3;0.8902430979958481;40.2559
1.3;0.8896571794424073;40.1117
1.3;0.8895950953572745;40.0964
1.3;0.8888229245484353;39.9064
1.3;0.8882214849737112;39.7584
1.3;0.8868129522922609;39.4117
1.3;0.8864559688027472;39.3239
1.3;0.8864443280367849;39.321
1.3;0.8864132859942184;39.3134
1.3;0.8853966591001687;39.0632
1.3;0.8838523174824904;38.6831
1.3;0.8837785926313951;38.665
1.3;0.8836039811419591;38.622
1.3;0.883549657567468;38.6086
1.3;0.8791921308422094;37.5362
1.3;0.8788855906718662;37.4608
1.3;0.8784277205440117;37.3481
1.3;0.8777059930543429;37.1705
1.3;0.876347903692063;36.8363
1.3;0.8757154220747725;36.6806
1.3;0.8747337174786101;36.439
1.3;0.8739188638612421;36.2385
1.3;0.8715169858176668;35.6474
1.3;0.8698174339871564;35.2291
1.3;0.8675824069223755;34.6791
1.3;0.8671555788370875;34.5741
1.3;0.8656228779853714;34.1969
1.3;0.8652775352618203;34.1119
1.3;0.8646760956870962;33.9639
1.3;0.8625341947500146;33.4368
1.3;0.8582775546630969;32.5305
1.3;0.8581029431736609;32.5019
1.3;0.857575228450032;32.4153
1.3;0.8575131443648992;32.4051
1.3;0.8567370933007392;32.2778
1.3;0.8566051646198319;32.2561
1.3;0.854975457385096;31.9887
1.3;0.8542265681081815;31.8659
1.3;0.8508507459790854;31.312
